Stock,P&L,Annualized Return,Annualized VOlatiliy,Sharpe,Sortino,Maximum DrawDown,Maximum Drawdown Days,Profitability,Ratio Profitability,Skewness
GOOGL,9330.691087520601,14.611762610151114,61.061933977619326,-0.005208614268014052,-0.12672675969509536,39.61242830728129,212,50.040683482506104,1.026737484709655,-0.19278746210504025
AAPL,14823.45820186615,20.698914331047625,79.80432482809114,-0.010251309996488009,-0.23516883845828918,31.589510306593734,214,50.77298616761595,1.0007209092360794,-0.28032634356607505
IBM,-704.8546435012813,-1.5010289534129084,32.46829752766746,-0.013115902089093858,-0.3022292588819142,31.08420019825422,527,50.28478437754272,0.9805039910653294,-0.14210466108395037
BIDU,-5304.493728935242,-14.480371055290886,69.32613055301148,-0.035816825521352215,-0.7891764885068453,68.366165156056,437,49.38974776240846,0.9861604359435584,-0.24951927768958565
JPM,1733.0251008300766,3.3622718764581228,48.01918920944921,-0.010778890510470282,-0.25829520336139206,40.12812276873797,197,50.040683482506104,1.007964461969643,-0.15510521534410077
BLK,1324.7024214477551,2.6074783168275273,44.824048779402055,-0.010493700843349102,-0.25417745786263973,38.61794314673721,294,50.77298616761595,0.9774746776847913,-0.14464858720969825
XOM,3343.971510505675,6.150857183818426,45.76267178954852,-0.00616361889921381,-0.12856759258732373,55.970008505008266,551,50.36615134255492,1.0184422176076218,-0.47695250012578144
VOW3.DE,-1670.9318884658805,-3.712453724822995,42.35742519721337,-0.01890356293388412,-0.4510648216508878,48.083193410378,396,49.877949552481695,0.9914428039951695,-0.07679343448322457
TM,-472.2758655166617,-0.9960500707779762,31.005521548577644,-0.011756845906204863,-0.2789313502963317,30.447721905243547,190,50.61025223759154,0.9711557525779648,-0.17881031253356863
KO,2547.6480447807317,4.807927349146657,32.118410504642185,-0.00097274563503877,-0.022905666073017618,30.26722592391432,28,50.691619202603746,0.9955651317292875,-0.06700143456662319
MCD,5353.858079574586,9.277664180816746,40.56087391145434,0.000900831128525205,0.021549650636725797,29.2270702731445,24,51.017087062652564,0.9931678684543338,-0.07675675141729497
