,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,Performance Indicator
Google,10026.599930088045,15.453576258071022,70.62113418912529,-0.0095192569898634,-0.2412362282729273,44.092504987046944,203.0,49.959316517493896,1.0280138689120073,-0.0697332519391715,Google
Apple,15364.227207424165,21.23833518942435,91.11956556984956,-0.0153251017943235,-0.3521967095204219,30.23380179136011,218.0,51.26118795768918,0.9825029540922124,-0.2710760131615753,Apple
IBM,-887.6947237396234,-1.9050981023801536,29.784758502415293,-0.0133804167604831,-0.3092190884774128,38.5799153809923,528.0,49.959316517493896,0.9898930576268704,-0.2872914267470483,IBM
Baidu,-5282.533742019654,-14.397766152811595,54.7831454447652,-0.0349084648949774,-0.823628419316535,69.22817405252344,438.0,49.22701383238405,0.9880821331506032,-0.1951137865393819,Baidu
JPMorgan Chase,339.02951684570326,0.6922623337526579,47.13818321315456,-0.0138980136516735,-0.3410427155360757,37.57573924731316,243.0,49.959316517493896,1.0037808072367282,-0.1211031350707681,JPMorgan Chase
BlackRock,-362.6741787414503,-0.761463669071849,46.933367574806496,-0.0157798776676651,-0.3691026137433391,43.212244039947166,242.0,51.74938974776241,0.9300879555355636,-0.0958307232740729,BlackRock
ExxonMobil,3657.2216197052,6.661736753916658,49.62337480082134,-0.007443837446762,-0.1497123833837519,56.37176939940434,379.0,53.13262815296989,0.913974580883085,-0.316727912062624,ExxonMobil
Volkswagen,-2002.4647285690296,-4.5183164469573045,42.81087524666662,-0.0201985171592802,-0.4741535253988206,49.82089693641849,395.0,49.06427990235965,1.02163345052159,-0.1428976332124448,Volkswagen
Toyota,-381.2706709365848,-0.8011171843940179,28.52810495963269,-0.0107488340499671,-0.2525014306914693,31.274344062558,179.0,49.55248169243287,1.0135966956469329,0.0392000688574884,Toyota
Coca Cola,2403.969389465332,4.558468217433087,32.49227517211387,-0.0016470539981066,-0.0391242968305964,26.2747090893962,27.0,49.38974776240846,1.046742718859736,-0.1069201631070838,Coca Cola
McDonalds,4924.080032073976,8.637593733412462,51.90488578485547,-0.0062980307258485,-0.1438657818641137,30.47615911279862,144.0,51.912123677786816,0.949378573900968,-0.2593863002460395,McDonalds
Performance Indicator,Profit & Loss (P&L),Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum DrawDown,Maximum DrawDown Duration,Profitability,Ratio Average Profit/Loss,Skewness,Performance Indicator
