,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),883,0,-21932,1,-58,-225,-142858,0,-2889,-2590,-35
1,Annualized Return,-7.58%,-33.78%,-4.18%,94.77%,7.11%,12.59%,-100.00%,28.50%,7.59%,-10.40%,-22.15%
2,Annualized Volatility,110.72%,124.15%,28.20%,334.02%,64.46%,76.17%,128.40%,80.79%,45.52%,30.88%,28.98%
3,Sharpe Ratio,-0.064,-0.204,-0.143,0.532,0.116,0.182,-0.788,0.431,0.177,-0.309,-0.635
4,Sortino Ratio,-0.088,-0.287,-0.224,1.424,0.181,0.286,-1.038,0.499,0.249,-0.504,-0.893
5,Maximum DrawDown,-27.78%,-77.55%,32.53%,-1066.77%,74.20%,84.02%,99.33%,81.99%,67.47%,47.52%,47.72%
6,Maximum DrawDown Duration,14 days,12 days,155 days,456 days,326 days,409 days,506 days,171 days,367 days,458 days,590 days
7,Profitability,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
8,Ratio Average Profit/Loss,inf,inf,0.000,inf,0.000,0.000,0.000,inf,0.000,0.000,0.000
9,Skewness,0.119,0.106,1.029,21.152,0.903,0.541,1.501,-0.468,0.098,1.419,-0.039
