,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),414,0,-5577,0,-40113,-25379,-865,-1,-7748,-784,-8682
1,Annualized Return,-25.88%,-64.87%,-1.46%,-11.76%,-100.00%,-46.84%,0.42%,-25.34%,-9.03%,-0.40%,-27.36%
2,Annualized Volatility,21.97%,41.81%,18.34%,33.13%,50.01%,23.88%,13.68%,37.11%,17.62%,10.87%,17.35%
3,Sharpe Ratio,-1.022,-1.048,-0.079,-0.333,-1.436,-1.500,0.030,-0.586,-0.487,-0.036,-1.357
4,Sortino Ratio,-1.446,-1.298,-0.105,-0.431,-1.613,-2.023,0.044,-0.752,-0.738,-0.065,-1.713
5,Maximum DrawDown,-14.65%,-21.24%,26.30%,-46.14%,83.44%,57.17%,15.45%,58.78%,25.70%,14.54%,46.59%
6,Maximum DrawDown Duration,49 days,20 days,170 days,34 days,432 days,373 days,71 days,424 days,433 days,240 days,292 days
7,Profitability,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
8,Ratio Average Profit/Loss,inf,inf,0.000,inf,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,Skewness,0.281,0.240,0.108,1.207,-0.742,-0.021,0.194,-0.166,0.446,1.532,-0.377
