,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),-5158,856226,-25525,-851,-2682,-136804,-12695,-443,-10862,17306,-3005
1,Annualized Return,-1.74%,19.30%,-0.85%,41.01%,-1.06%,-16.19%,-22.29%,-100.00%,0.98%,4.36%,-10.82%
2,Annualized Volatility,30.92%,32.52%,27.50%,208.92%,31.65%,31.53%,35.46%,138.15%,22.60%,21.27%,21.94%
3,Sharpe Ratio,-0.054,0.856,-0.030,0.422,-0.033,-0.377,-0.411,-0.682,0.044,0.223,-0.401
4,Sortino Ratio,-0.080,1.208,-0.038,0.906,-0.043,-0.515,-0.513,-0.405,0.062,0.268,-0.547
5,Maximum DrawDown,54.11%,23.46%,46.57%,98.75%,52.27%,58.36%,81.81%,109.22%,38.35%,29.21%,46.06%
6,Maximum DrawDown Duration,339 days,79 days,486 days,233 days,355 days,1178 days,576 days,252 days,179 days,17 days,1174 days
7,Profitability,49.11%,52.56%,31.58%,60.00%,50.45%,41.36%,51.67%,52.63%,36.36%,49.06%,47.69%
8,Ratio Average Profit/Loss,0.943,1.557,1.368,0.335,0.873,1.022,0.728,0.319,1.362,1.211,0.614
9,Skewness,0.272,0.058,-0.469,24.279,-0.309,0.145,-0.649,-27.149,0.093,-0.730,0.252
