,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),743473,-30341408,-30706,-9403832,35481,15851,22171,40,11478,72393,402833
1,Annualized Return,7.30%,-24.18%,1.99%,-11.77%,6.50%,4.86%,7.71%,9.12%,3.37%,10.54%,11.35%
2,Annualized Volatility,30.68%,33.58%,27.05%,47.20%,32.16%,31.36%,33.32%,33.70%,22.56%,20.46%,23.93%
3,Sharpe Ratio,0.273,-0.454,0.076,-0.199,0.229,0.170,0.268,0.320,0.159,0.630,0.589
4,Sortino Ratio,0.371,-0.628,0.097,-0.287,0.318,0.213,0.382,0.430,0.226,0.886,0.877
5,Maximum DrawDown,39.61%,70.34%,57.40%,73.96%,40.63%,42.82%,56.38%,56.90%,38.90%,22.40%,17.67%
6,Maximum DrawDown Duration,239 days,910 days,651 days,1013 days,243 days,229 days,312 days,425 days,179 days,399 days,43 days
7,Profitability,41.94%,44.78%,45.36%,40.52%,100.00%,63.64%,43.31%,56.76%,53.85%,50.62%,34.88%
8,Ratio Average Profit/Loss,1.744,0.747,1.170,1.124,inf,0.591,1.414,0.941,0.924,1.689,3.945
9,Skewness,-0.047,-0.035,-0.196,0.217,0.428,-0.558,0.002,-0.044,0.094,0.165,2.219
