,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),496592,555136,-14477,194,20461,22219,18533,-67228,-25292,36637,-10391
1,Annualized Return,15.82%,17.11%,-1.60%,-100.00%,5.95%,6.68%,8.41%,0.46%,-1.64%,6.02%,-21.81%
2,Annualized Volatility,30.55%,32.97%,27.27%,204.53%,32.15%,31.60%,34.38%,36.83%,22.60%,21.63%,24.21%
3,Sharpe Ratio,0.700,0.719,-0.057,-0.452,0.207,0.240,0.287,0.012,-0.070,0.312,-0.594
4,Sortino Ratio,0.957,0.988,-0.073,-0.296,0.289,0.316,0.396,0.018,-0.100,0.380,-0.764
5,Maximum DrawDown,21.33%,28.91%,60.63%,-154.29%,40.63%,39.99%,70.34%,51.04%,38.33%,31.50%,67.20%
6,Maximum DrawDown Duration,36 days,43 days,480 days,314 days,243 days,149 days,528 days,321 days,179 days,21 days,1090 days
7,Profitability,44.07%,52.05%,50.00%,54.55%,36.36%,49.06%,52.38%,0.00%,46.81%,54.84%,46.03%
8,Ratio Average Profit/Loss,2.047,1.401,0.873,1.903,2.391,1.178,1.061,0.000,0.887,1.169,0.719
9,Skewness,-0.076,-0.049,-0.436,-14.619,0.443,-0.031,-0.216,0.381,0.122,-0.626,0.454
